id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus,Label
20525,1397.50000,36993.25000,1.27734,1.64615,3143.00000,65221.75000,1.50028,2.92616,3186.50000,32249.00000,0.95745,2.49150,-0.00020,-0.00003,-0.00122,1.02382,0.97761,1.02954,0.31389,0.24432,-0.11295,0.88941,0.97678,1.01255,Inactive
20525,1344.00000,42880.25000,0.00000,2.02780,3108.00000,64788.00000,1.51427,2.92332,3194.50000,34436.50000,0.83117,2.66233,-0.00174,-0.00058,-0.00094,1.19468,0.97133,1.10674,-0.96345,0.25831,-0.23923,1.09562,0.97583,1.08197,Inactive
20525,1405.00000,63480.50000,0.00000,2.03765,3103.50000,71065.25000,1.55344,2.85396,3142.50000,46016.50000,0.56553,2.70669,0.00001,-0.00065,-0.00278,1.78543,1.07026,1.51881,-0.96345,0.29747,-0.50488,1.10094,0.95268,1.10000,Inactive
20525,1365.00000,77064.00000,0.00000,2.15390,3137.50000,84437.50000,1.48862,2.96589,3232.50000,55728.50000,0.53600,2.76504,-0.00114,-0.00012,0.00041,2.17728,1.28031,1.85966,-0.96345,0.23265,-0.53440,1.16375,0.99004,1.12371,Inactive
20561,1359.50000,36170.50000,0.97824,1.78521,3128.00000,64386.25000,1.36394,3.01679,3177.50000,31349.75000,1.03584,2.50959,-0.00129,-0.00027,-0.00154,1.00124,0.96469,0.99800,0.01479,0.10797,-0.03457,0.96455,1.00703,1.01990,Inactive
20561,1193.00000,36438.25000,0.00000,1.91913,3091.00000,66106.00000,1.31317,2.99740,3176.00000,31161.00000,1.10899,2.44397,-0.00608,-0.00085,-0.00159,1.01373,0.99236,0.99137,-0.96345,0.05720,0.03858,1.03691,1.00056,0.99323,Inactive
20561,1412.50000,39054.25000,0.00000,2.16128,3140.00000,66542.50000,1.61246,2.95303,3217.00000,32232.25000,1.02278,2.58374,0.00023,-0.00008,-0.00014,1.08266,0.99846,1.02786,-0.96345,0.35650,-0.04763,1.16774,0.98575,1.05003,Inactive
20561,1437.00000,42762.75000,0.77320,2.03158,3094.50000,66967.50000,1.73642,2.94783,3172.00000,31270.75000,0.98237,2.85064,0.00093,-0.00080,-0.00174,1.18862,1.00587,0.99539,-0.19024,0.48046,-0.08803,1.09766,0.98401,1.15850,Inactive
20561,1275.00000,49437.00000,1.47630,2.37694,3005.00000,72189.25000,3.50454,3.05415,3025.00000,27550.75000,2.19822,3.50722,-0.00372,-0.00220,-0.00694,1.38525,1.08951,0.86882,0.51285,2.24857,1.12781,1.28426,1.01950,1.42534,Inactive
20940,1450.50000,40304.75000,0.22659,2.07783,3166.50000,69602.25000,1.58496,2.91312,3218.00000,33288.75000,0.96709,2.49233,0.00132,0.00034,-0.00011,1.11754,1.04623,1.06525,-0.73686,0.32899,-0.10332,1.12265,0.97243,1.01288,Inactive
20940,1386.50000,39899.50000,0.00000,1.95520,3124.00000,69890.00000,1.55510,2.91740,3272.00000,33419.00000,0.52105,2.65259,-0.00052,-0.00033,0.00181,1.10772,1.05143,1.06795,-0.96345,0.29913,-0.54936,1.05640,0.97386,1.07801,Inactive
20940,1565.50000,39025.75000,1.11402,1.78038,3187.50000,70150.75000,1.32918,2.99728,3262.00000,32886.75000,1.02036,2.47429,0.00463,0.00067,0.00145,1.07744,1.05454,1.04945,0.15058,0.07321,-0.05005,0.96194,1.00052,1.00555,Inactive
20940,1427.00000,38415.75000,1.16822,1.68777,3164.00000,70050.00000,1.50640,2.92778,3264.50000,32337.75000,0.54291,2.74555,0.00065,0.00030,0.00154,1.06388,1.05332,1.02992,0.20477,0.25044,-0.52750,0.91190,0.97732,1.11579,Inactive
20940,1399.50000,40574.00000,1.31553,1.72329,3143.50000,71493.25000,1.31425,3.01040,3238.00000,33257.75000,1.09690,2.43124,-0.00014,-0.00002,0.00060,1.12675,1.07637,1.06345,0.35208,0.05828,0.02649,0.93109,1.00490,0.98806,Inactive
21006,1401.00000,50793.25000,1.34027,1.60851,3232.50000,69030.00000,1.28056,3.17355,3164.00000,39736.50000,0.94550,2.59776,-0.00010,0.00138,-0.00202,1.42063,1.03618,1.29558,0.37682,0.02459,-0.12490,0.86908,1.05936,1.05573,Inactive
21006,1342.50000,46599.75000,0.63145,1.85641,3230.00000,66849.25000,1.30283,3.08554,3246.00000,37133.50000,1.01526,2.50267,-0.00178,0.00134,0.00089,1.30170,1.00187,1.20046,-0.33200,0.04686,-0.05515,1.00302,1.02998,1.01709,Inactive
21006,1380.50000,47026.00000,0.83931,1.83972,3336.00000,67577.25000,1.56651,3.06860,3237.50000,37447.50000,0.91203,2.54796,-0.00069,0.00301,0.00058,1.31287,1.01167,1.21189,-0.12414,0.31055,-0.15838,0.99400,1.02433,1.03549,Inactive
21006,1409.00000,48130.00000,0.91084,1.81305,3504.00000,68720.75000,1.60651,3.17656,3218.00000,38343.50000,0.76902,2.73120,0.00013,0.00565,-0.00011,1.34380,1.02703,1.24432,-0.05261,0.35054,-0.30139,0.97960,1.06037,1.10996,Inactive
21006,1388.00000,50400.25000,0.00000,1.95637,4043.50000,70114.00000,1.75352,3.35739,3245.00000,39471.00000,0.93750,2.58857,-0.00047,0.01415,0.00085,1.40970,1.04048,1.28330,-0.96345,0.49755,-0.13291,1.05703,1.12073,1.05200,Inactive
21625,1641.50000,34561.25000,1.26598,1.85616,3121.50000,66547.50000,1.30071,2.99843,3195.50000,30316.00000,0.56838,2.67774,0.00682,-0.00037,-0.00090,0.94685,0.99883,0.96074,0.30253,0.04475,-0.50203,1.00289,1.00090,1.08823,Inactive
21625,1410.50000,35017.00000,1.41399,1.64760,3155.00000,65473.50000,1.05087,3.09897,3176.00000,30484.00000,1.04114,2.46136,0.00017,0.00016,-0.00159,0.96660,0.98139,0.96738,0.45054,-0.20510,-0.02927,0.89020,1.03447,1.00030,Inactive
21625,1340.50000,35383.00000,0.38647,1.94988,3145.00000,65777.50000,1.02246,3.06950,3254.00000,31203.75000,1.11623,2.41287,-0.00184,0.00000,0.00117,0.97914,0.98633,0.99012,-0.57698,-0.23351,0.04583,1.05352,1.02463,0.98059,Inactive
21625,1369.50000,35205.00000,0.60322,1.86793,3158.50000,65845.50000,1.15201,3.06008,3231.00000,30629.50000,0.96350,2.50011,-0.00101,0.00021,0.00035,0.97319,0.98719,0.97059,-0.36023,-0.10396,-0.10691,1.00924,1.02148,1.01604,Inactive
21625,1466.00000,35566.00000,0.00000,2.10016,3191.00000,66189.00000,1.45827,2.93380,3320.00000,30343.00000,1.19251,2.44754,0.00177,0.00072,0.00351,0.98079,0.99209,0.95729,-0.96345,0.20230,0.12210,1.13472,0.97933,0.99468,Inactive
21658,1433.50000,36727.75000,0.83248,1.93429,3155.50000,65811.50000,1.49469,2.93301,3151.50000,31711.00000,0.43821,2.68359,0.00083,0.00017,-0.00246,1.01514,0.98670,1.01172,-0.13097,0.23872,-0.63220,1.04510,0.97907,1.09061,Inactive
21658,1394.00000,38343.25000,0.33927,1.97711,3081.00000,65187.50000,1.51360,2.94884,3182.00000,32282.00000,1.04510,2.44987,-0.00030,-0.00101,-0.00138,1.06274,0.97805,1.03086,-0.62418,0.25763,-0.02530,1.06823,0.98435,0.99563,Inactive
21658,1282.00000,41846.50000,0.45865,1.96204,3086.50000,61370.75000,1.66802,2.96989,3222.00000,32678.50000,0.96685,2.72502,-0.00352,-0.00092,0.00004,1.16673,0.91786,1.04349,-0.50480,0.41205,-0.10356,1.06009,0.99138,1.10745,Inactive
21658,1301.00000,47806.75000,1.43714,2.05453,3035.00000,57541.00000,2.92230,3.05850,3007.50000,32320.00000,1.65542,2.93072,-0.00298,-0.00173,-0.00756,1.33761,0.85836,1.03839,0.47369,1.66633,0.58501,1.11006,1.02096,1.19105,Inactive
21919,1485.50000,41914.25000,0.89883,1.87874,3200.00000,65006.00000,1.64121,2.85643,3299.50000,34370.75000,0.90592,2.65980,0.00233,0.00087,0.00278,1.16282,0.97332,1.10070,-0.06462,0.38524,-0.16448,1.01509,0.95350,1.08094,Inactive
21919,1486.50000,44480.00000,0.29839,2.07077,3213.50000,64779.50000,1.70045,2.82766,3252.00000,35456.75000,0.75880,2.68453,0.00236,0.00108,0.00110,1.23659,0.96954,1.14085,-0.66506,0.44449,-0.31161,1.11884,0.94390,1.09100,Inactive
21919,1384.50000,47298.25000,0.21815,2.11018,3170.50000,61282.25000,1.58580,2.87726,3249.00000,35079.50000,0.65484,2.74071,-0.00058,0.00040,0.00099,1.32058,0.91514,1.12759,-0.74530,0.32983,-0.41556,1.14013,0.96046,1.11383,Inactive
21919,1365.00000,46664.00000,0.36635,2.10884,3103.00000,56278.25000,1.57310,3.13343,3202.00000,34814.50000,0.55906,2.85429,-0.00114,-0.00066,-0.00067,1.30290,0.83740,1.11987,-0.59709,0.31713,-0.51134,1.13941,1.04597,1.15998,Inactive
21919,1378.50000,44929.25000,0.00000,2.21603,3082.00000,52720.50000,1.49454,3.30741,3147.50000,32981.25000,0.48124,3.22670,-0.00075,-0.00099,-0.00260,1.25262,0.78171,1.05686,-0.96345,0.23857,-0.58916,1.19732,1.10405,1.31133,Inactive
20141,1430.00000,36703.50000,0.38262,1.89959,3173.50000,65147.70000,1.00289,3.08198,3280.00000,31589.95000,0.37150,2.70644,-0.00136,-0.00128,-0.00428,1.06381,0.98909,1.04846,0.38262,-0.01279,-0.50809,1.01373,1.00926,1.06875,Inactive
20141,1696.00000,34331.45000,0.58355,1.99430,3277.50000,65652.50000,1.07808,3.04745,3402.00000,31071.25000,0.54538,2.65205,0.00667,0.00038,0.00024,0.98425,0.99548,1.02473,0.58355,0.06241,-0.33421,1.06428,0.99795,1.04727,Inactive
20141,1563.00000,34526.50000,0.74385,1.83965,3218.00000,64522.00000,1.00519,3.02925,3377.50000,30517.00000,1.05451,2.43692,0.00265,-0.00057,-0.00067,0.99415,0.97839,1.00511,0.74385,-0.01048,0.17492,0.98175,0.99199,0.96232,Inactive
20141,1547.50000,35507.00000,0.45942,2.00540,3279.50000,65601.95000,1.06645,3.07771,3384.00000,31426.00000,1.15632,2.35601,0.00219,0.00041,-0.00043,1.02418,0.99465,1.03854,0.45942,0.05078,0.27672,1.07020,1.00786,0.93037,Inactive
20141,1482.00000,37030.00000,0.59285,1.79831,3235.50000,65336.00000,1.03092,3.07670,3390.50000,31781.70000,0.90677,2.51976,0.00021,-0.00029,-0.00019,1.07209,0.99110,1.05147,0.59285,0.01525,0.02717,0.95969,1.00753,0.99503,Inactive
20168,1411.00000,37696.60000,0.00000,2.06194,3255.50000,68479.50000,1.10015,3.14249,3377.50000,29567.00000,0.66653,2.80922,-0.00193,0.00003,-0.00067,1.09434,1.04095,0.96993,0.00000,0.08447,-0.21306,1.10038,1.02908,1.10934,Inactive
20168,1294.50000,36499.20000,0.00000,1.97725,3281.50000,66015.75000,1.51991,3.18113,3358.00000,28255.50000,0.65212,2.94914,-0.00544,0.00045,-0.00139,1.06174,1.00122,0.92208,0.00000,0.50424,-0.22748,1.05518,1.04173,1.16459,Inactive
