id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus
21216_6ba29829-33ef-492d-aa84-2bb10f131cda, 1702.00000, 47710.00000, 0.00000, 1.83982, 3391.50000, 64522.00000, 1.06638, 2.98956, 3848.00000, 20471.50000, 0.96132, 3.09087, -0.00267, 0.00142, -0.00345, 1.03494, 0.97450, 0.95587, 0.00000, -0.01254, -0.00231, 0.99855, 1.00024, 0.97020
21216_43a7dbcc-a609-44a4-a6e2-cefcb569311e, 1900.00000, 48461.00000, 0.73807, 1.58381, 3458.50000, 64729.00000, 1.14621, 2.99245, 3820.00000, 19243.25000, 0.97015, 3.16652, 0.00179, 0.00249, -0.00506, 1.04738, 0.97673, 0.88685, 0.73807, 0.06729, 0.00652, 0.85960, 1.00121, 0.99395
21216_cf743409-1991-45f7-b469-37e7756d46e3, 1904.00000, 51052.00000, 0.00000, 1.97473, 3572.50000, 63661.00000, 1.28001, 2.96050, 3793.00000, 18661.00000, 0.43973, 3.48454, 0.00188, 0.00430, -0.00661, 1.10557, 0.95789, 0.85492, 0.00000, 0.20109, -0.52391, 1.07178, 0.99052, 1.09378
21619_af51c007-1f1b-4b42-9cf4-5fd764b849b7, 1788.50000, 16186.25000, 1.41923, 1.46212, 3282.50000, 32285.50000, 1.18220, 3.23923, 3874.50000, 29199.50000, 0.84395, 3.43829, -0.00072, -0.00032, -0.00193, 0.32387, 0.46234, 1.45621, 1.41923, 0.10328, -0.11968, 0.79356, 1.08377, 1.07926
21619_614ae153-9098-40ec-80d0-fead18e4c026, 1888.50000, 16345.75000, 0.52572, 1.86110, 3278.00000, 22128.00000, 0.53978, 3.45939, 3805.00000, 33678.00000, 0.80477, 3.38446, 0.00153, -0.00039, -0.00592, 0.32521, 0.30049, 1.71773, 0.52572, -0.53914, -0.15886, 1.01010, 1.15744, 1.06236
21619_69cbd7f2-836a-4732-bb1c-f748c2fce8f2, 1811.50000, 19280.50000, 0.00000, 2.02945, 3249.00000, 22674.00000, 1.21305, 3.20726, 3773.50000, 23287.00000, 0.79375, 3.44768, -0.00020, -0.00085, -0.00773, 0.39296, 0.30966, 1.12205, 0.00000, 0.13413, -0.16988, 1.10147, 1.07308, 1.08220
21619_7d35f60f-5109-49e9-b363-5c2e78eb721f, 1826.00000, 21901.75000, 0.68801, 1.77436, 3307.50000, 21698.00000, 1.06631, 3.41488, 3914.50000, 17052.00000, 0.38873, 3.65576, 0.00012, 0.00008, 0.00037, 0.45160, 0.29317, 0.75542, 0.68801, -0.01261, -0.57491, 0.96303, 1.14254, 1.14752
21619_ad622128-ef6e-47c7-ba75-29ebc70a2b56, 2015.50000, 21453.50000, 0.00000, 2.16068, 3285.00000, 20762.50000, 0.85452, 3.76139, 3848.50000, 15730.00000, 0.85033, 3.47602, 0.00439, -0.00028, -0.00342, 0.43725, 0.27861, 0.68320, 0.00000, -0.22440, -0.11330, 1.17270, 1.25848, 1.09110
21767_3f929fdc-270f-4761-80b4-802ea2406d4d, 1814.50000, 48254.75000, 0.00000, 2.01572, 3284.50000, 67505.00000, 1.00132, 2.98395, 4019.50000, 21677.00000, 0.45786, 3.49735, -0.00013, -0.00029, 0.00641, 1.04466, 1.02376, 1.01532, 0.00000, -0.07760, -0.50577, 1.09402, 0.99836, 1.09780
21767_ed3b5e6b-24a2-4c99-b866-f04309b5e822, 1912.00000, 48848.00000, 0.00000, 1.99135, 3312.00000, 65808.75000, 1.10144, 3.02661, 3940.50000, 21035.50000, 0.48749, 3.46995, 0.00206, 0.00015, 0.00187, 1.05582, 0.99628, 0.98298, 0.00000, 0.02251, -0.47614, 1.08079, 1.01264, 1.08919
21767_4a358555-e514-4c24-8763-a0aa11f765a4, 1734.50000, 47111.50000, 0.00000, 1.91239, 3364.00000, 65372.50000, 1.10467, 2.97754, 3945.00000, 20156.00000, 0.97035, 3.47094, -0.00193, 0.00098, 0.00213, 1.02075, 0.98849, 0.93215, 0.00000, 0.02574, 0.00672, 1.03794, 0.99622, 1.08951
21767_92ed9b07-55bf-46ac-a048-acdabf2de41d, 1883.00000, 57115.00000, 0.00000, 2.06639, 3299.50000, 68230.50000, 1.47110, 2.90980, 3942.50000, 15891.00000, 0.67569, 4.45189, 0.00141, -0.00005, 0.00198, 1.24243, 1.03508, 0.68705, 0.00000, 0.39217, -0.28794, 1.12152, 0.97355, 1.39742
21767_65896151-362a-48e2-8b2f-d2edc4e1064e, 1787.50000, 76344.50000, 0.00000, 2.04816, 3321.50000, 80220.00000, 1.30592, 3.37403, 3969.50000, 17034.00000, 0.49098, 5.40363, -0.00074, 0.00030, 0.00354, 1.67714, 1.22586, 0.75122, 0.00000, 0.22700, -0.47265, 1.11163, 1.12887, 1.69617
21094_aa129ab7-3ae6-4743-90a3-3690d00af94a, 2611.50000, 45438.25000, 0.00000, 1.92081, 3737.00000, 65564.25000, 0.00000, 3.06607, 4585.00000, 21559.50000, 0.00000, 3.37966, -0.00013, -0.00031, 0.00118, 0.98996, 0.99676, 1.00183, 0.00000, -0.88203, 0.00000, 1.02803, 1.16469, 0.99244
21094_769e8966-4b67-470b-b40d-30e42d16a706, 2568.50000, 44223.25000, 0.00000, 1.82557, 3775.50000, 65716.25000, 0.89751, 2.71021, 4594.50000, 21107.50000, 0.00000, 3.50514, -0.00112, 0.00031, 0.00174, 0.96287, 0.99859, 0.97459, 0.00000, 0.01548, 0.00000, 0.97706, 1.02951, 1.02928
21094_577a0041-0d3f-47d6-8d40-065c62c23ac9, 2581.00000, 44225.50000, 0.00000, 1.88802, 3804.00000, 63696.00000, 0.00000, 3.15193, 4634.50000, 20824.25000, 0.00000, 3.63752, -0.00083, 0.00077, 0.00410, 0.96263, 0.96556, 0.95551, 0.00000, -0.88203, 0.00000, 1.01049, 1.19731, 1.06816
21094_2a76ad66-79a6-446e-aaaf-232020e5f405, 2654.50000, 43572.50000, 0.00000, 1.95213, 3789.50000, 63077.50000, 0.94846, 2.79950, 4542.00000, 20115.50000, 0.00000, 3.61743, 0.00087, 0.00054, -0.00136, 0.94583, 0.95583, 0.91914, 0.00000, 0.06643, 0.00000, 1.04479, 1.06343, 1.06226
21094_00f6c1c0-bc7b-423c-b35c-3a72adbd3848, 2571.00000, 44197.25000, 0.00000, 1.97706, 3800.50000, 62854.50000, 0.46264, 2.98593, 4590.50000, 19033.25000, 0.00000, 3.92350, -0.00106, 0.00072, 0.00151, 0.96221, 0.95205, 0.85241, 0.00000, -0.41940, 0.00000, 1.05814, 1.13425, 1.15214
21623_e4831e30-517b-440e-86f0-c75eec587767, 2718.50000, 47056.00000, 0.00000, 1.90557, 3732.00000, 65533.50000, 0.94842, 2.59019, 4471.00000, 21142.00000, 0.00000, 3.42480, 0.00235, -0.00039, -0.00555, 1.02488, 0.99635, 0.98392, 0.00000, 0.06639, 0.00000, 1.01987, 0.98392, 1.00569
21623_8390ceb5-8a59-41a5-b67e-d13f53e9275f, 2704.00000, 46645.75000, 0.00000, 2.03492, 3761.50000, 65792.50000, 0.43074, 2.85762, 4442.50000, 20781.50000, 0.00000, 3.44076, 0.00201, 0.00009, -0.00723, 1.01573, 1.00005, 0.96432, 0.00000, -0.45129, 0.00000, 1.08910, 1.08551, 1.01038
21623_14f8cf30-2a7b-417e-8ad6-7a3698d972fd, 2646.00000, 49394.50000, 0.00000, 1.82210, 3786.50000, 65343.75000, 0.99067, 2.63415, 4533.00000, 20859.50000, 0.00000, 3.43692, 0.00067, 0.00049, -0.00189, 1.08061, 0.99241, 0.96358, 0.00000, 0.10863, 0.00000, 0.97520, 1.00062, 1.00925
21623_7a8e7cd0-742a-4773-94f7-c34bd23259e3, 2599.00000, 47587.50000, 0.00000, 1.75074, 3783.50000, 63835.75000, 0.93654, 2.63541, 4575.00000, 20467.00000, 0.00000, 3.55854, -0.00042, 0.00044, 0.00059, 1.03993, 0.96815, 0.93794, 0.00000, 0.05451, 0.00000, 0.93701, 1.00110, 1.04497
21623_bc7a6a52-e8ba-42b2-8bc6-da63110d27f3, 2638.00000, 48848.25000, 0.00000, 1.93241, 3722.00000, 60209.00000, 0.90839, 2.56089, 4365.00000, 19457.25000, 0.00000, 3.43101, 0.00049, -0.00055, -0.01180, 1.06817, 0.91067, 0.89074, 0.00000, 0.02636, 0.00000, 1.03424, 0.97279, 1.00752
20110_dbcd9c44-dbd8-4330-853f-0ac096c3cc2e, 2835.50000, 24178.50000, 0.00000, 2.07934, 3711.50000, 44812.50000, 0.00000, 3.06328, 5340.00000, 23004.00000, 0.00000, 2.92216, 0.00768, 0.00115, 0.00050, 1.05366, 1.02980, 1.04498, 0.00000, 0.00000, 0.00000, 0.96164, 0.97522, 0.96155
20110_4865cd24-0030-41a5-ba3b-15e507f76497, 2689.00000, 23762.00000, 0.00000, 2.11586, 3701.00000, 44772.00000, 0.00000, 3.02872, 5521.50000, 23154.25000, 0.00000, 2.93701, 0.00044, 0.00089, 0.01124, 1.04033, 1.02905, 1.04313, 0.00000, 0.00000, 0.00000, 0.97853, 0.96422, 0.96644
20110_631dd621-50bf-4808-8170-e8593e5ee499, 2765.50000, 23948.50000, 0.00000, 2.16961, 3760.50000, 46771.50000, 0.18588, 3.07652, 5460.00000, 26171.50000, 0.00000, 2.86986, 0.00422, 0.00238, 0.00760, 1.04576, 1.07766, 1.22526, 0.00000, 0.18588, 0.00000, 1.00339, 0.97944, 0.94435
20110_e4cbed83-a7e7-4f1a-ac23-f24629619547, 2616.00000, 21414.75000, 0.00000, 2.61989, 3562.50000, 42866.75000, 0.74641, 3.62521, 5393.00000, 63784.50000, 0.00000, 2.61961, -0.00316, -0.00258, 0.00364, 0.92806, 0.98479, 3.45435, 0.00000, 0.74641, 0.00000, 1.21164, 1.15412, 0.86200
