ID Chemical,Actual Class,J48 Prediction,NB Prediction,IBk5 Prediction,SVM Prediction
21767,Inactive,Inactive,Inactive,Inactive,Inactive
20023,Inactive,Inactive,Inactive,Inactive,Inactive
20106,Inactive,Inactive,Inactive,Inactive,Inactive
21577,Inactive,Inactive,Inactive,Inactive,Inactive
20007,Inactive,Inactive,Inactive,Inactive,Inactive
21221,Inactive,Inactive,Inactive,Inactive,Inactive
20041,Inactive,Inactive,Inactive,Inactive,Inactive
20563,Inactive,Inactive,Inactive,Inactive,Inactive
21757,Inactive,Inactive,Inactive,Inactive,Inactive
20359,Inactive,Inactive,Inactive,Inactive,Inactive
21538,Inactive,Inactive,Inactive,Inactive,Inactive
21406,Inactive,Inactive,Inactive,Inactive,Inactive
21539,Inactive,Inactive,Inactive,Inactive,Inactive
20361,Inactive,Inactive,Inactive,Inactive,Inactive
21778,Inactive,Inactive,Inactive,Inactive,Inactive
20362,Inactive,Inactive,Inactive,Inactive,Inactive
20490,Inactive,Inactive,Inactive,Inactive,Inactive
20363,Inactive,Inactive,Inactive,Inactive,Inactive
21548,Inactive,Inactive,Inactive,Inactive,Inactive
20364,Inactive,Inactive,Inactive,Inactive,Inactive
21550,Inactive,Inactive,Inactive,Inactive,Inactive
20365,Inactive,Inactive,Inactive,Inactive,Inactive
21780,Inactive,Inactive,Inactive,Inactive,Inactive
21784,Inactive,Inactive,Inactive,Inactive,Inactive
20108,Inactive,Inactive,Inactive,Inactive,Inactive
20766,Inactive,Inactive,Inactive,Inactive,Inactive
20021,Inactive,Inactive,Inactive,Inactive,Inactive
21799,Inactive,Inactive,Inactive,Inactive,Inactive
20008,Inactive,Inactive,Inactive,Inactive,Inactive
21688,Inactive,Inactive,Inactive,Inactive,Inactive
20312,Inactive,Inactive,Inactive,Inactive,Inactive
20004,Inactive,Inactive,Inactive,Inactive,Inactive
20601,Inactive,Inactive,Inactive,Inactive,Inactive
20902,Inactive,Inactive,Inactive,Inactive,Inactive
20696,Inactive,Inactive,Inactive,Inactive,Inactive
21284,Inactive,Inactive,Inactive,Inactive,Inactive
20933,Inactive,Inactive,Inactive,Inactive,Inactive
21291,Inactive,Inactive,Inactive,Inactive,Inactive
20955,Inactive,Inactive,Inactive,Inactive,Inactive
20006,Inactive,Inactive,Inactive,Inactive,Inactive
21274,Inactive,Inactive,Inactive,Inactive,Inactive
20268,Inactive,Inactive,Inactive,Inactive,Inactive
20484,Inactive,Inactive,Inactive,Inactive,Inactive
20811,Inactive,Inactive,Inactive,Inactive,Inactive
20002,Inactive,Inactive,Inactive,Inactive,Inactive
20812,Inactive,Inactive,Inactive,Inactive,Inactive
21720,Inactive,Inactive,Inactive,Inactive,Inactive
20271,Inactive,Inactive,Inactive,Inactive,Inactive
20068,Inactive,Inactive,Inactive,Inactive,Inactive
20272,Inactive,Inactive,Inactive,Inactive,Inactive
21745,Inactive,Inactive,Inactive,Inactive,Inactive
20279,Inactive,Inactive,Inactive,Inactive,Inactive
20159,Inactive,Inactive,Inactive,Inactive,Inactive
20893,Inactive,Inactive,Inactive,Inactive,Inactive
20172,Inactive,Inactive,Inactive,Inactive,Inactive
20269,Inactive,Inactive,Inactive,Inactive,Inactive
20333,Inactive,Inactive,Inactive,Inactive,Inactive
21045,Inactive,Inactive,Inactive,Inactive,Inactive
20410,Inactive,Inactive,Inactive,Inactive,Inactive
978,Inactive,Inactive,Inactive,Inactive,Inactive
21177,Inactive,Inactive,Inactive,Inactive,Inactive
21287,Inactive,Inactive,Inactive,Inactive,Inactive
20404,Inactive,Inactive,Inactive,Inactive,Inactive
20097,Inactive,Inactive,Inactive,Inactive,Inactive
21454,Inactive,Inactive,Inactive,Inactive,Inactive
20028,Inactive,Inactive,Inactive,Inactive,Inactive
