id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus
20703_0ab7db6b-3b09-4c1f-858c-2844ac9764aa, 1300.00000, 44877.50000, 0.00000, 1.78767, 3284.00000, 62090.00000, 1.17716, 2.69341, 3532.00000, 40928.00000, 0.25229, 2.41300, -0.00354, 0.00068, -0.00059, 0.93466, 0.99467, 0.95744, -0.26390, -0.57845, -0.02462, 0.95772, 1.04362, 0.98066
20716_66257c49-0249-4591-a3d2-ae243fe2c1df, 1562.00000, 47474.00000, 0.59511, 1.81542, 3221.00000, 61302.50000, 1.35795, 2.71791, 3503.00000, 41498.00000, 0.33110, 2.40782, 0.00208, -0.00039, -0.00133, 0.98473, 0.98242, 0.97277, 0.33121, -0.39766, 0.05419, 0.97259, 1.05311, 0.97856
20741_bf7b886a-d015-4b27-90c7-492326ce8e7d, 1470.00000, 45678.00000, 0.00000, 1.91529, 3293.00000, 61150.00000, 1.33227, 2.70466, 3681.00000, 41212.50000, 0.43043, 2.41349, 0.00011, 0.00083, 0.00323, 0.94818, 0.97862, 0.96090, -0.26390, -0.42334, 0.15352, 1.02610, 1.04798, 0.98086
20761_c9fb8a65-e311-4173-9c05-8803d0b3013a, 1564.00000, 41613.50000, 0.33181, 1.83507, 3231.00000, 61436.00000, 1.82801, 2.42419, 3520.00000, 38531.00000, 0.30657, 2.38446, 0.00212, -0.00022, -0.00090, 0.85899, 0.98451, 0.89637, 0.06790, 0.07240, 0.02966, 0.98312, 0.93930, 0.96906
20770_95ed4f50-e6af-4d8b-a296-3e9f0072861f, 1352.00000, 46651.50000, 0.21640, 1.77524, 3280.00000, 60792.00000, 1.89564, 2.51474, 3480.00000, 37691.50000, 0.19501, 2.45090, -0.00242, 0.00061, -0.00192, 0.97159, 0.97278, 0.87590, -0.04750, 0.14003, -0.08190, 0.95107, 0.97439, 0.99607
20786_a48e4242-18f6-42fb-8434-54ce783ad1c5, 1546.00000, 52979.50000, 0.00000, 1.85830, 3377.00000, 67104.00000, 1.26946, 2.70971, 3679.00000, 44164.00000, 0.30619, 2.38680, 0.00174, 0.00225, 0.00317, 1.10316, 1.07791, 1.03652, -0.26390, -0.48615, 0.02928, 0.99556, 1.04993, 0.97002
20797_d6ae5409-5eda-4c93-b159-b853021efd60, 1697.00000, 44820.00000, 0.53280, 1.86364, 3252.00000, 62021.50000, 1.95492, 2.38630, 3554.00000, 40368.50000, 0.31529, 2.41843, 0.00498, 0.00014, -0.00003, 0.92491, 0.99405, 0.94255, 0.26889, 0.19931, 0.03838, 0.99842, 0.92462, 0.98287
20815_66e093bd-ae50-48a2-9512-21f9d8200c07, 1541.00000, 45808.50000, 0.64851, 1.77438, 3259.00000, 62130.00000, 1.68185, 2.58005, 3653.00000, 40855.00000, 0.27975, 2.45367, 0.00163, 0.00025, 0.00251, 0.94946, 0.99577, 0.95247, 0.38461, -0.07376, 0.00283, 0.95060, 0.99969, 0.99719
20834_6493fe23-efc6-41dc-80b4-efb76383905b, 1430.00000, 45591.50000, 0.54619, 1.74581, 3254.00000, 62029.00000, 1.38366, 2.68559, 3554.00000, 40714.00000, 0.29260, 2.43555, -0.00075, 0.00017, -0.00003, 0.94718, 0.99415, 0.95139, 0.28229, -0.37195, 0.01569, 0.93530, 1.04059, 0.98983
20842_af74b9ac-872c-444e-9696-54910387dd61, 1557.00000, 51101.00000, 1.09935, 1.68354, 3134.00000, 61216.00000, 1.85825, 2.56581, 3498.00000, 42764.00000, 0.21694, 2.58323, 0.00197, -0.00186, -0.00146, 1.06263, 0.98243, 1.00531, 0.83545, 0.10264, -0.05998, 0.90194, 0.99418, 1.04985
20844_f064b412-7536-4393-93c4-869e9629f0ff, 1642.00000, 51246.00000, 0.00000, 2.10966, 3127.00000, 58918.00000, 1.96411, 2.62081, 3516.00000, 42864.00000, 0.54204, 2.50883, 0.00380, -0.00198, -0.00100, 1.06392, 0.94367, 1.00741, -0.26390, 0.20850, 0.26513, 1.13023, 1.01549, 1.01961
20848_8f2e33eb-3535-4bb5-b75b-15a25bd95c8f, 1405.00000, 45985.00000, 0.63062, 1.67548, 3208.00000, 62074.00000, 1.71013, 2.57350, 3494.00000, 39724.50000, 0.33908, 2.41280, -0.00129, -0.00061, -0.00156, 0.95616, 0.99569, 0.92760, 0.36672, -0.04548, 0.06216, 0.89762, 0.99716, 0.98058
20856_03e2c9df-fe1e-43af-84ae-18282052e56e, 1644.00000, 50013.50000, 0.33414, 1.90079, 3208.00000, 63580.00000, 1.37747, 2.62491, 3468.00000, 43047.00000, 0.25216, 2.41432, 0.00384, -0.00061, -0.00223, 1.03744, 1.02116, 1.01333, 0.07023, -0.37814, -0.02475, 1.01833, 1.01708, 0.98120
20860_e1d0ee51-cd7d-4589-bba1-cb875508434c, 1259.00000, 43878.00000, 0.00000, 1.81441, 3174.00000, 60037.50000, 1.82897, 2.54072, 3428.00000, 39432.00000, 0.21190, 2.43474, -0.00442, -0.00118, -0.00325, 0.91410, 0.96182, 0.92180, -0.26390, 0.07336, -0.06501, 0.97205, 0.98445, 0.98950
20890_3a3aa8d6-287d-4d4e-b8bf-0e8e47358479, 1574.00000, 45955.00000, 0.67205, 1.76726, 3256.00000, 62156.00000, 1.31532, 2.64381, 3644.00000, 40033.50000, 0.38521, 2.39421, 0.00234, 0.00020, 0.00228, 0.95189, 0.99626, 0.93167, 0.40815, -0.44029, 0.10830, 0.94679, 1.02440, 0.97303
20901_49893456-4df0-4a07-9465-735eaff4ed16, 1456.00000, 45665.00000, 0.93244, 1.61831, 3345.00000, 63717.00000, 1.93616, 2.40449, 3552.00000, 40042.00000, 0.20636, 2.45714, -0.00019, 0.00171, -0.00008, 0.94820, 1.02116, 0.93424, 0.66854, 0.18055, -0.07055, 0.86699, 0.93167, 0.99860
20938_98e32871-4c55-4149-9456-c46ee692add1, 1734.00000, 48955.00000, 0.48177, 1.89778, 3254.00000, 65056.00000, 1.75547, 2.54228, 3567.00000, 41981.50000, 0.26766, 2.43836, 0.00577, 0.00017, 0.00031, 1.01280, 1.04535, 0.98351, 0.21787, -0.00014, -0.00926, 1.01672, 0.98506, 0.99097
20941_036d8b78-9d98-48e9-9c75-96747ea195c7, 1712.00000, 47304.00000, 0.44509, 1.91476, 3168.00000, 60118.00000, 1.84799, 2.54400, 3515.00000, 41054.00000, 0.35623, 2.44050, 0.00530, -0.00129, -0.00102, 0.97787, 0.96328, 0.96110, 0.18119, 0.09238, 0.07932, 1.02581, 0.98573, 0.99184
20965_4036b7b8-c25a-4b7c-8114-d949cf104a89, 1587.00000, 53826.50000, 0.85296, 1.71562, 3328.00000, 66121.00000, 1.21337, 2.72775, 3649.00000, 45486.00000, 0.26616, 2.46087, 0.00262, 0.00142, 0.00241, 1.12044, 1.06211, 1.07114, 0.58906, -0.54224, -0.01075, 0.91912, 1.05692, 1.00012
20983_ff438666-a23a-42e8-a5fc-74d41431b36c, 1461.00000, 46629.00000, 0.48144, 1.79677, 3175.00000, 61036.00000, 1.91278, 2.42816, 3501.00000, 40914.50000, 0.30837, 2.45198, -0.00009, -0.00117, -0.00138, 0.96877, 0.97869, 0.95788, 0.21754, 0.15717, 0.03146, 0.96260, 0.94084, 0.99650
20997_3cfa921e-8364-4233-b878-8cb67031202f, 1502.00000, 40584.00000, 0.00000, 1.99734, 3163.00000, 59900.00000, 1.33075, 2.65387, 3482.00000, 36877.50000, 0.35672, 2.43987, 0.00079, -0.00137, -0.00187, 0.83824, 0.95968, 0.85501, -0.26390, -0.42486, 0.07981, 1.07005, 1.02830, 0.99158
21007_a89eb5f3-b13a-4c3f-b9e5-56f86b3bdb93, 1267.00000, 46752.00000, 0.00000, 1.80737, 3374.00000, 59599.50000, 1.43921, 2.64739, 3698.00000, 39191.50000, 0.35566, 2.44380, -0.00425, 0.00220, 0.00366, 0.97557, 0.95102, 0.90873, -0.26390, -0.31640, 0.07875, 0.96828, 1.02579, 0.99318
21012_71298aba-6f93-47b2-a1b0-672d31881a28, 1416.00000, 46519.00000, 0.58032, 1.70181, 3313.00000, 62761.50000, 1.35816, 2.70588, 3522.00000, 40605.50000, 0.28852, 2.39408, -0.00105, 0.00117, -0.00084, 0.96738, 1.00554, 0.94943, 0.31642, -0.39745, 0.01161, 0.91173, 1.04845, 0.97297
21020_1b8c83b8-8d5c-4490-8926-6d9526d20ada, 1436.00000, 47323.00000, 0.47720, 1.72224, 3300.00000, 63374.50000, 1.31739, 2.64763, 3690.00000, 41542.50000, 0.27048, 2.48843, -0.00062, 0.00095, 0.00346, 0.98419, 1.01613, 0.96912, 0.21330, -0.43822, -0.00644, 0.92267, 1.02588, 1.01132
21025_434380ef-0403-4567-840e-29856f34b10b, 1792.00000, 46251.00000, 0.75861, 1.83757, 3353.00000, 62917.00000, 1.90155, 2.42871, 3680.00000, 40662.50000, 0.30875, 2.45744, 0.00701, 0.00184, 0.00320, 0.95356, 1.00749, 0.94685, 0.49470, 0.14594, 0.03184, 0.98446, 0.94105, 0.99872
21031_82ffa33d-8700-4ba7-b1f5-bfd7b3d70a80, 1670.00000, 48452.00000, 0.54823, 1.83376, 3367.00000, 63992.00000, 1.85197, 2.55846, 3621.00000, 41881.00000, 0.22341, 2.50437, 0.00440, 0.00208, 0.00169, 1.00339, 1.02544, 0.97956, 0.28433, 0.09636, -0.05350, 0.98242, 0.99133, 1.01780
21036_adc90be4-921c-4aa5-bbbf-ba0a0b740589, 1536.00000, 44182.00000, 0.00000, 1.98626, 3371.00000, 62197.00000, 1.83827, 2.57557, 3703.00000, 39758.00000, 0.24625, 2.51926, 0.00152, 0.00215, 0.00379, 0.91468, 0.99501, 0.92310, -0.26390, 0.08266, -0.03067, 1.06412, 0.99796, 1.02385
21038_d837e8d9-9d3c-4d7c-8d7b-9da97653d7fa, 1467.00000, 45126.00000, 0.25685, 1.98688, 3284.00000, 60740.00000, 1.96069, 2.43467, 3608.00000, 40756.50000, 0.28530, 2.47547, 0.00004, 0.00068, 0.00136, 0.93641, 0.97184, 0.95110, -0.00705, 0.20508, 0.00839, 1.06445, 0.94336, 1.00605
21041_f5f70f21-0737-411d-a2c2-d5bd192a5e9b, 1564.00000, 44202.50000, 0.54447, 1.80834, 3312.00000, 62333.00000, 1.73300, 2.58523, 3726.00000, 41519.50000, 0.28329, 2.44669, 0.00212, 0.00115, 0.00438, 0.91452, 0.99831, 0.96761, 0.28057, -0.02261, 0.00638, 0.96880, 1.00170, 0.99435
21043_6d82e590-ae80-4600-b755-86f98873299c, 1610.00000, 45928.00000, 1.06623, 1.72557, 3140.00000, 60357.50000, 1.83839, 2.44754, 3412.00000, 41948.00000, 0.00000, 2.48978, 0.00311, -0.00176, -0.00366, 0.95054, 0.96780, 0.98662, 0.80233, 0.08278, -0.27691, 0.92446, 0.94835, 1.01187
21044_66eb6f2d-c3d4-4e7d-87e5-e0e6e919a86c, 1642.00000, 43418.00000, 0.00000, 2.02808, 3207.00000, 60240.00000, 1.24279, 2.72842, 3524.00000, 39111.00000, 0.00000, 2.53138, 0.00380, -0.00063, -0.00079, 0.89602, 0.96468, 0.91112, -0.26390, -0.51282, -0.27691, 1.08652, 1.05718, 1.02877
21059_048e81ce-818c-49d5-a3f8-e5ab3726783b, 1528.00000, 47478.50000, 0.72911, 1.75728, 3233.00000, 60229.50000, 1.85302, 2.56820, 3567.00000, 40338.50000, 0.33688, 2.48081, 0.00135, -0.00019, 0.00031, 0.98555, 0.96407, 0.94145, 0.46520, 0.09741, 0.05997, 0.94144, 0.99510, 1.00822
21068_8a62b010-d1cb-42c3-a215-ea08011d8a91, 1763.00000, 75542.00000, 0.66955, 1.76480, 3398.00000, 80182.50000, 1.67472, 2.45664, 3697.00000, 69741.50000, 0.00000, 2.32430, 0.00639, 0.00260, 0.00364, 1.58243, 1.29877, 1.69091, 0.40565, -0.08089, -0.27691, 0.94547, 0.95188, 0.94461
21071_0867060f-83b2-4473-a1c7-e70ffd9f1946, 1439.00000, 47365.50000, 0.00000, 1.98600, 3283.00000, 60853.00000, 1.77160, 2.59970, 3546.00000, 41874.50000, 0.29623, 2.46098, -0.00056, 0.00066, -0.00023, 0.98504, 0.97377, 0.98131, -0.26390, 0.01599, 0.01932, 1.06398, 1.00731, 1.00016
21076_80a1bbb3-0fe0-4cbc-a467-3c7754913a21, 1555.00000, 45916.00000, 0.52184, 1.84757, 3196.00000, 60689.00000, 1.77987, 2.56670, 3502.00000, 41270.00000, 0.22586, 2.47464, 0.00193, -0.00081, -0.00136, 0.95146, 0.97246, 0.96696, 0.25794, 0.02426, -0.05105, 0.98982, 0.99452, 1.00571
21077_a08ba188-b463-4256-baf0-765539bdf21f, 1482.00000, 53650.50000, 0.00000, 1.91128, 3337.00000, 67313.50000, 1.29253, 2.69833, 3591.00000, 47022.50000, 0.25676, 2.41344, 0.00036, 0.00157, 0.00092, 1.11892, 1.08213, 1.11196, -0.26390, -0.46308, -0.02015, 1.02395, 1.04552, 0.98084
21090_a956a2f0-df64-4990-964a-fb0af3aff83e, 1655.00000, 50776.00000, 0.98417, 1.55329, 3303.00000, 65047.00000, 1.25934, 2.70358, 3740.00000, 44258.50000, 0.44665, 2.41715, 0.00408, 0.00100, 0.00474, 1.05356, 1.04437, 1.03738, 0.72026, -0.49627, 0.16974, 0.83216, 1.04756, 0.98235
21091_ae51a1bc-e141-4d22-97c0-6b054203bd1b, 1721.00000, 50967.00000, 0.71330, 1.77989, 3424.00000, 67175.00000, 1.37281, 2.70451, 3695.00000, 45757.00000, 0.00000, 2.46899, 0.00549, 0.00304, 0.00358, 1.05624, 1.07831, 1.07690, 0.44940, -0.38280, -0.27691, 0.95356, 1.04792, 1.00342
21097_1b056713-ab75-4b62-9816-6944cb9c0e33, 1555.00000, 52437.00000, 0.69567, 1.62874, 3288.00000, 66409.00000, 1.24536, 2.72446, 3458.00000, 46117.00000, 0.00000, 2.47371, 0.00193, 0.00074, -0.00248, 1.09133, 1.06766, 1.09218, 0.43177, -0.51025, -0.27691, 0.87258, 1.05565, 1.00534
21132_9514deff-1901-47db-8b38-6a281589b5c3, 1487.00000, 42190.00000, 0.00000, 1.90485, 3468.00000, 61835.00000, 1.41990, 2.73248, 3784.00000, 39858.50000, 0.38218, 2.43902, 0.00047, 0.00379, 0.00586, 0.87301, 0.98725, 0.92360, -0.26390, -0.33571, 0.10527, 1.02050, 1.05876, 0.99124
21138_6ea255e9-7c11-414c-95e2-3a999130587f, 1453.00000, 46655.00000, 0.46438, 1.77222, 3242.00000, 62184.00000, 1.84679, 2.52598, 3659.00000, 41908.00000, 0.25372, 2.44474, -0.00026, -0.00003, 0.00266, 0.96950, 0.99697, 0.97927, 0.20048, 0.09118, -0.02319, 0.94945, 0.97874, 0.99356
21157_9dfa7f2f-eab1-42ee-a23f-c62aef43a84c, 1470.00000, 45263.00000, 0.00000, 1.91212, 3255.00000, 60423.00000, 1.95619, 2.42082, 3637.00000, 40166.50000, 0.25005, 2.45721, 0.00011, 0.00019, 0.00210, 0.93928, 0.96697, 0.93525, -0.26390, 0.20058, -0.02687, 1.02440, 0.93800, 0.99863
21183_956e9652-c8ee-4b4f-a293-0e8ba813b196, 1751.00000, 47222.00000, 0.60485, 1.81493, 3350.00000, 62944.00000, 1.39541, 2.73559, 3559.00000, 40520.00000, 0.37253, 2.40211, 0.00613, 0.00179, 0.00010, 0.97527, 1.00800, 0.94630, 0.34095, -0.36020, 0.09562, 0.97233, 1.05996, 0.97624
21189_e22851bb-c8c4-400e-b614-41004612fb67, 1516.00000, 46065.00000, 0.00000, 1.98329, 3183.00000, 61601.00000, 1.81947, 2.43364, 3606.00000, 40997.00000, 0.34437, 2.42734, 0.00109, -0.00103, 0.00131, 0.95550, 0.98811, 0.95731, -0.26390, 0.06386, 0.06746, 1.06253, 0.94296, 0.98649
