@relation TS6-Test-Pf

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
712,22664.5,1.1682,2.10583,2653.5,48633,3.11924,3.09023,1076.5,11248.5,1.56003,2.97652,0.0001,0.00043,0.00086,1.07766,1.01034,1.03264,-0.31692,-0.06968,-0.08979,1.02919,0.99409,1.01575,Inactive
758.5,22262.5,1.44575,2.07328,2668,48752.5,3.22297,3.07202,1070,11020,1.39762,2.99002,0.00238,0.00075,0.0002,1.05564,1.01265,1.0101,-0.03937,0.03405,-0.2522,1.01328,0.98823,1.02036,Inactive
753,22518,1.38223,2.08643,2706,48715.25,3.14291,3.07525,1105,11538,1.63106,2.88852,0.00211,0.00158,0.00376,1.06846,1.01099,1.05913,-0.10289,-0.04602,-0.01877,1.01971,0.98927,0.98572,Inactive
741.5,23011.25,1.15786,2.10713,2701,47626,3.15037,3.07864,1098.5,11449.75,1.42577,2.95892,0.00155,0.00147,0.0031,1.09324,0.98717,1.05083,-0.32726,-0.03856,-0.22405,1.02983,0.99036,1.00974,Inactive
718.5,23477.5,1.57347,1.98435,2701.5,52207.75,3.22351,3.17199,1054.5,11680.75,1.59308,2.92411,0.00042,0.00148,-0.00137,1.11725,1.08783,1.07875,0.08835,0.03458,-0.05674,0.96982,1.02039,0.99786,Inactive
702,23829,1.40189,2.04196,2632.5,51033.5,3.20611,3.17906,1068.5,11618.25,1.55972,2.96559,-0.00039,-0.00003,0.00005,1.13532,1.06355,1.07099,-0.08323,0.01719,-0.0901,0.99798,1.02266,1.01202,Inactive
696.5,25306.5,1.25172,2.07512,2685.5,49808.75,3.35705,3.20084,1081.5,11927,1.74887,2.94377,-0.00066,0.00113,0.00137,1.20812,1.03547,1.10101,-0.2334,0.16813,0.09904,1.01418,1.02967,1.00457,Inactive
709,25087,1.24662,2.17277,2674,50682,3.24667,3.21331,1075.5,11665,1.70278,2.93061,-0.00005,0.00088,0.00076,1.19673,1.05491,1.07502,-0.2385,0.05775,0.05296,1.06191,1.03368,1.00008,Inactive
702,25830.75,1.1628,2.20278,2677.5,50770,3.29052,3.27869,1080,12204.5,1.63832,3.009,-0.00039,0.00096,0.00122,1.23359,1.05677,1.12933,-0.32233,0.1016,-0.01151,1.07657,1.05471,1.02683,Inactive
702,32240.25,1.39913,2.07445,2670.5,32626.5,4.25833,3.98511,1124.5,11606.5,1.96249,3.06084,-0.00039,0.0008,0.00574,1.54823,0.65824,1.06411,-0.08599,1.06941,0.31267,1.01386,1.28196,1.04452,Inactive
