@relation TS3-Binary-Labeled

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
2196,58362.5,0,1.8239,3942,73293,0.58888,2.67297,4860,58074,0,2.36948,-0.00415,-0.00144,-0.00935,1.00488,0.97938,1.06783,0,-0.09173,0,1.00438,1.05987,0.98396,Inactive
2539,54289,1.32832,1.24087,3916,71358,0,2.73086,5092,48648.5,0,2.34566,0.00199,-0.00181,-0.0047,0.92586,0.95242,0.87403,1.32832,-0.68061,0,0.68332,1.08282,0.97407,Inactive
2088,52801,0,1.7003,4046,73299,0.79804,2.47341,5160,50367.5,0,2.35376,-0.00608,0.00003,-0.00333,0.90731,0.978,0.90716,0,0.11743,0,0.93631,0.98074,0.97743,Inactive
1874,55507,0,1.59592,3885,68631.5,0,2.89215,4979,52089.5,0,2.44089,-0.00991,-0.00225,-0.00696,0.95955,0.91436,0.94535,0,-0.68061,0,0.87883,1.14677,1.01361,Inactive
2164,53555.5,0,1.77387,3818,69624.5,0.67412,2.51365,5038,50968,0,2.3996,-0.00472,-0.00319,-0.00578,0.91945,0.92933,0.92166,0,-0.00649,0,0.97683,0.99669,0.99647,Inactive
2176,54720,0,1.7734,3972,68983,0.84651,2.51658,5157,54602.5,0,2.35906,-0.00451,-0.00102,-0.00339,0.94007,0.91809,0.9922,0,0.1659,0,0.97657,0.99785,0.97963,Inactive
2298,54290,0,1.6901,4103,72565,0.74903,2.48312,5264,48587,0,2.37151,-0.00233,0.00083,-0.00124,0.93019,0.96683,0.86935,0,0.06842,0,0.9307,0.98459,0.9848,Inactive
2532,53109.5,0,1.93367,4036,73071,0.62846,2.54961,5307,51458,0,2.40325,0.00186,-0.00011,-0.00038,0.90488,0.97492,0.92609,0,-0.05215,0,1.06483,1.01095,0.99798,Inactive
2492,56767,0,1.89351,4068,70933,0.72021,2.60162,5202,52689.5,0,2.42209,0.00115,0.00034,-0.00249,0.97103,0.94427,0.95291,0,0.0396,0,1.04271,1.03157,1.00581,Inactive
2307,55428,0,1.79893,3944,71803,0.72207,2.48673,5119,49237.5,0,2.37581,-0.00216,-0.00141,-0.00415,0.95039,0.95831,0.88531,0,0.04146,0,0.99063,0.98602,0.98659,Inactive
