@relation TS3-TS6-Pv

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
2204,76831,0.69086,1.92862,3798,61051,1.01599,3.10026,4689,64692,0.36652,2.46463,0.00094,0.00029,-0.00123,1.32265,0.79574,1.18818,0.69086,0.43606,0.36652,1.09147,1.16963,1.03226,Inactive
2319,87416.5,0,2.79167,3710,62127,1.51374,3.67248,4675,86684,0,3.35728,0.00298,-0.00093,-0.0015,1.50822,0.81192,1.62394,0,0.93381,0,1.57989,1.38551,1.40613,Inactive
2255,57080.5,0.98835,1.56934,3732,72946,0.61667,2.64671,4611,53304,0.57339,2.17534,0.00184,-0.00063,-0.00277,0.9717,0.96199,0.96422,0.98835,0.03674,0.57339,0.88814,0.99852,0.9111,Inactive
2072,57241.5,0,1.91151,3749,71519,0.61153,2.69859,4924,53672,0.67474,2.14997,-0.0014,-0.00039,0.00343,0.97779,0.94192,0.96531,0,0.03159,0.67474,1.08178,1.01809,0.90047,Inactive
1920,53135,0,1.91712,3628,72915,0.48834,2.7349,4576,52287,0.58883,2.22139,-0.00409,-0.00207,-0.00347,0.90771,0.963,0.94477,0,-0.09159,0.58883,1.08496,1.03179,0.93038,Inactive
1952,55792,0.82244,1.527,3749,70692,0.60925,2.6877,4644,52549,0.6367,2.11674,-0.00353,-0.00039,-0.00212,0.95423,0.93042,0.94861,0.82244,0.02932,0.6367,0.86418,1.01398,0.88655,Inactive
1955,70443,0,1.99539,3708,65972,0.97024,2.9527,4673,64299,0,2.57515,-0.00347,-0.00096,-0.00154,1.21384,0.86539,1.18071,0,0.39031,0,1.12925,1.11396,1.07855,Inactive
2212,60236,0.55858,1.75758,3944,68764,0.78353,2.7292,4542,54978,0.55702,2.11118,0.00108,0.00232,-0.00414,1.02838,0.90092,0.99873,0.55858,0.2036,0.55702,0.99467,1.02964,0.88422,Inactive
1810,62059,0,1.82577,3764,73460,0.91216,2.61484,4391,59217,0,2.42207,-0.00604,-0.00018,-0.00713,1.06782,0.96869,1.08566,0,0.33222,0,1.03326,0.98649,1.01443,Inactive
2168,54594.5,0,1.95513,3739,72187,0.99595,2.53947,4666,49665,0.61092,2.17028,0.0003,-0.00053,-0.00168,0.92918,0.95134,0.89107,0,0.41602,0.61092,1.10647,0.95806,0.90898,Inactive
